P_ID,ITEM_ID,BRAND,RATING,MODEL_ATTR,JOINS
P1,Computers & Accessories,HP,4,Female,1
P2,Computers & Accessories,HP,5,Female,2
P3,Computers & Accessories,HP,5,Female,3
P4,Computers & Accessories,HP,5,Female,4
P5,Computers & Accessories,HP,2,Female,5
P6,Computers & Accessories,HP,5,Female,6
P7,Computers & Accessories,HP,5,Female,7
P8,Computers & Accessories,HP,5,Female,8
P9,Television & Video,Philips,5,Female,9
P10,Camera & Photo,Polaroid,5,Female&Male,10
P11,Camera & Photo,Panasonic,1,Female,11
P12,Camera & Photo,Panasonic,4,Female,12
P13,Home Audio,Philips,4,Female,13
P14,Camera & Photo,Panasonic,5,Female,14
P15,Home Audio,Philips,4,Female,15
P16,Home Audio,Philips,5,Female,16
P17,Home Audio,Philips,4,Female,17
P18,Computers & Accessories,HP,1,Female,18
P19,Camera & Photo,JVC,5,Female,19
P20,Home Audio,Philips,5,Female,20
P21,Home Audio,Philips,5,Female,21
P22,Home Audio,Philips,3,Female,22
P23,Camera & Photo,Polaroid,3,Female&Male,23
P24,Home Audio,Philips,2,Female,24
P25,Computers & Accessories,HP,5,Female,25
P26,Camera & Photo,Panasonic,4,Male,26
P27,Home Audio,Philips,1,Female,27
P28,Camera & Photo,Polaroid,4,Female&Male,28
P29,Computers & Accessories,HP,5,Female,29
P30,Camera & Photo,Fujifilm,5,Female&Male,30
P31,Camera & Photo,Fujifilm,5,Female&Male,31
P32,Television & Video,Philips,5,Female,32
P33,Camera & Photo,Nikon,4,Female,33
P34,Computers & Accessories,HP,4,Female,34
P35,Camera & Photo,Panasonic,5,Male,35
P36,Camera & Photo,Nikon,5,Female,36
P37,Camera & Photo,Nikon,4,Female,37
P38,Camera & Photo,Panasonic,5,Male,38
P39,Computers & Accessories,HP,5,Female,39
P40,Camera & Photo,Nikon,4,Female,40
P41,Camera & Photo,Kodak,5,Female&Male,41
P42,Camera & Photo,Kodak,4,Female&Male,42
P43,Camera & Photo,Nikon,5,Female,43
P44,Camera & Photo,Panasonic,3,Male,44
P45,Camera & Photo,Nikon,4,Female,45
P46,Camera & Photo,Nikon,4,Female,46
P47,Computers & Accessories,HP,5,Female,47
P48,Camera & Photo,Kodak,5,Female&Male,48
P49,Camera & Photo,Kodak,5,Female&Male,49
P50,Computers & Accessories,HP,5,Female,50
P51,Camera & Photo,Nikon,5,Female,51
P52,Camera & Photo,Panasonic,5,Male,52
P53,Camera & Photo,Fujifilm,5,Female&Male,53
P54,Camera & Photo,Kodak,5,Female&Male,54
P55,Camera & Photo,Kodak,5,Female&Male,55
P56,Camera & Photo,Fujifilm,3,Female&Male,56
P57,Camera & Photo,Fujifilm,4,Female,57
P58,Camera & Photo,Nikon,4,Female,58
P59,Camera & Photo,Kodak,5,Female&Male,59
P60,Camera & Photo,Sony,5,Female,60
P61,Camera & Photo,Panasonic,4,Female,61
P62,Camera & Photo,Kodak,1,Female&Male,62
P63,Camera & Photo,Nikon,3,Female,63
P64,Camera & Photo,Sony,5,Female,64
P65,Computers & Accessories,HP,5,Female,65
P66,Camera & Photo,Panasonic,5,Male,66
P67,Camera & Photo,Kodak,5,Female&Male,67
P68,Camera & Photo,Polaroid,5,Female&Male,68
P69,Computers & Accessories,HP,3,Female,69
P70,Computers & Accessories,HP,5,Female,70
P71,Camera & Photo,Fujifilm,5,Female&Male,71
P72,Camera & Photo,Nikon,4,Female,72
P73,Computers & Accessories,HP,1,Female,73
P74,Camera & Photo,Kodak,5,Female&Male,74
P75,Camera & Photo,Kodak,5,Female&Male,75
P76,Camera & Photo,Polaroid,5,Female&Male,76
P77,Camera & Photo,Canon,3,Female,77
P78,Camera & Photo,Nikon,2,Female,78
P79,Camera & Photo,Canon,5,Female,79
P80,Camera & Photo,Kodak,4,Female&Male,80
P81,Camera & Photo,Kodak,5,Female&Male,81
P82,Camera & Photo,Nikon,4,Female,82
P83,Computers & Accessories,HP,4,Female,83
P84,Camera & Photo,Panasonic,5,Male,84
P85,Camera & Photo,Kodak,4,Female&Male,85
P86,Camera & Photo,Kodak,5,Female&Male,86
P87,Camera & Photo,Panasonic,4,Male,87
P88,Camera & Photo,Kodak,5,Female&Male,88
P89,Camera & Photo,Kodak,5,Female&Male,89
P90,Camera & Photo,Nikon,5,Female,90
P91,Camera & Photo,Fujifilm,4,Female&Male,91
P92,Camera & Photo,Fujifilm,4,Female&Male,92
P93,Camera & Photo,Kodak,5,Female&Male,93
P94,Camera & Photo,Kodak,4,Female&Male,94
P95,Camera & Photo,Sony,5,Female,95
P96,Camera & Photo,Kodak,5,Female&Male,96
P97,Camera & Photo,Kensington,3,Female&Male,97
P98,Computers & Accessories,HP,1,Female,98
P99,Camera & Photo,Kodak,5,Female&Male,99
P100,Camera & Photo,Kodak,5,Female&Male,100
P101,Camera & Photo,Kodak,5,Female&Male,101
P102,Camera & Photo,Nikon,4,Female,102
P103,Home Audio,Philips,1,Female,103
P104,Camera & Photo,Kodak,5,Female&Male,104
P105,Camera & Photo,Kodak,5,Female&Male,105
P106,Camera & Photo,Fujifilm,4,Female&Male,106
P107,Camera & Photo,Canon,4,Female,107
P108,Camera & Photo,Nikon,4,Female,108
P109,Camera & Photo,JVC,2,Female,109
P110,Camera & Photo,Kodak,5,Female&Male,110
P111,Home Audio,Philips,1,Female,111
P112,Camera & Photo,Kodak,5,Female&Male,112
P113,Computers & Accessories,HP,5,Female,113
P114,Camera & Photo,Fujifilm,1,Female&Male,114
P115,Camera & Photo,Sony,5,Female,115
P116,Television & Video,Philips,1,Female,116
P117,Camera & Photo,Kodak,4,Female&Male,117
P118,Camera & Photo,Panasonic,4,Male,118
P119,Camera & Photo,Nikon,4,Female,119
P120,Camera & Photo,Panasonic,3,Female,120
P121,Camera & Photo,Nikon,5,Female,121
P122,Camera & Photo,Kensington,4,Female&Male,122
P123,Camera & Photo,Sony,5,Female,123
P124,Camera & Photo,Nikon,5,Female,124
P125,Computers & Accessories,HP,5,Female,125
P126,Camera & Photo,Sony,1,Female,126
P127,Camera & Photo,Sony,5,Female,127
P128,Camera & Photo,Nikon,5,Female,128
P129,Camera & Photo,Kodak,4,Female&Male,129
P130,Computers & Accessories,HP,5,Female,130
P131,Camera & Photo,Kodak,5,Female&Male,131
P132,Camera & Photo,Kodak,5,Female&Male,132
P133,Camera & Photo,Kodak,4,Female&Male,133
P134,Camera & Photo,Sony,5,Female,134
P135,Camera & Photo,Kodak,5,Female&Male,135
P136,Camera & Photo,Sony,4,Female,136
