P_ID,USER_ID,TIMESTAMP,YEAR,MONTH
P1,U1,13-06-1999,1999,6
P2,U2,14-06-1999,1999,6
P3,U3,17-06-1999,1999,6
P4,U4,01-07-1999,1999,7
P5,U5,06-07-1999,1999,7
P6,U6,12-07-1999,1999,7
P7,U7,13-07-1999,1999,7
P8,U8,13-07-1999,1999,7
P9,U9,16-07-1999,1999,7
P10,U10,20-08-1999,1999,8
P11,U11,24-08-1999,1999,8
P12,U12,04-10-1999,1999,10
P13,U13,10-10-1999,1999,10
P14,U14,12-10-1999,1999,10
P15,U15,17-10-1999,1999,10
P16,U16,21-10-1999,1999,10
P17,U17,25-10-1999,1999,10
P18,U18,29-10-1999,1999,10
P19,U19,06-11-1999,1999,11
P20,U20,09-11-1999,1999,11
P21,U21,10-11-1999,1999,11
P22,U22,14-11-1999,1999,11
P23,U23,23-11-1999,1999,11
P24,U24,24-11-1999,1999,11
P25,U25,26-11-1999,1999,11
P26,U26,27-11-1999,1999,11
P27,U27,29-11-1999,1999,11
P28,U28,30-11-1999,1999,11
P29,U29,01-12-1999,1999,12
P30,U30,02-12-1999,1999,12
P31,U31,02-12-1999,1999,12
P32,U32,02-12-1999,1999,12
P33,U33,04-12-1999,1999,12
P34,U34,04-12-1999,1999,12
P35,U35,05-12-1999,1999,12
P36,U36,06-12-1999,1999,12
P37,U37,07-12-1999,1999,12
P38,U38,07-12-1999,1999,12
P39,U39,07-12-1999,1999,12
P40,U40,08-12-1999,1999,12
P41,U41,10-12-1999,1999,12
P42,U42,10-12-1999,1999,12
P43,U43,13-12-1999,1999,12
P44,U44,22-12-1999,1999,12
P45,U45,27-12-1999,1999,12
P46,U46,28-12-1999,1999,12
P47,U47,30-12-1999,1999,12
P48,U48,03-01-2000,2000,1
P49,U49,04-01-2000,2000,1
P50,U50,06-01-2000,2000,1
P51,U51,06-01-2000,2000,1
P52,U52,06-01-2000,2000,1
P53,U53,07-01-2000,2000,1
P54,U54,09-01-2000,2000,1
P55,U55,12-01-2000,2000,1
P56,U56,14-01-2000,2000,1
P57,U57,17-01-2000,2000,1
P58,U58,22-01-2000,2000,1
P59,U59,24-01-2000,2000,1
P60,U60,29-01-2000,2000,1
P61,U61,31-01-2000,2000,1
P62,U62,01-02-2000,2000,2
P63,U63,01-02-2000,2000,2
P64,U64,14-02-2000,2000,2
P65,U65,15-02-2000,2000,2
P66,U66,19-02-2000,2000,2
P67,U67,21-02-2000,2000,2
P68,U68,27-02-2000,2000,2
P69,U69,28-02-2000,2000,2
P70,U70,29-02-2000,2000,2
P71,U71,01-03-2000,2000,3
P72,U72,12-03-2000,2000,3
P73,U73,16-03-2000,2000,3
P74,U74,17-03-2000,2000,3
P75,U75,22-03-2000,2000,3
P76,U76,22-03-2000,2000,3
P77,U77,23-03-2000,2000,3
P78,U78,25-03-2000,2000,3
P79,U79,28-03-2000,2000,3
P80,U80,28-03-2000,2000,3
P81,U81,30-03-2000,2000,3
P82,U82,31-03-2000,2000,3
P83,U83,01-04-2000,2000,4
P84,U84,05-04-2000,2000,4
P85,U85,06-04-2000,2000,4
P86,U86,12-04-2000,2000,4
P87,U87,12-04-2000,2000,4
P88,U88,12-04-2000,2000,4
P89,U89,14-04-2000,2000,4
P90,U90,15-04-2000,2000,4
P91,U91,15-04-2000,2000,4
P92,U92,16-04-2000,2000,4
P93,U93,17-04-2000,2000,4
P94,U94,22-04-2000,2000,4
P95,U95,27-04-2000,2000,4
P96,U96,30-04-2000,2000,4
P97,U97,05-05-2000,2000,5
